Default schedule
Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.306803	
1000	0.293000	0.237548	1000	0.293000	0.293000	0.306791	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306788	
1000	0.299000	0.237548	1000	0.299000	0.299000	0.306781	
1000	0.292000	0.237548	1000	0.292000	0.292000	0.306769	
1000	0.321000	0.237548	1000	0.321000	0.321000	0.306781	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.306785	
1000	0.314000	0.237548	1000	0.314000	0.314000	0.306791	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306788	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.306781	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.306773	
1000	0.300000	0.237548	1000	0.300000	0.300000	0.306768	
1000	0.313000	0.237548	1000	0.313000	0.313000	0.306773	
1000	0.330000	0.237548	1000	0.330000	0.330000	0.306792	
1000	0.324000	0.237548	1000	0.324000	0.324000	0.306807	
1000	0.287000	0.237548	1000	0.287000	0.287000	0.306790	
1000	0.302000	0.237548	1000	0.302000	0.302000	0.306786	
1000	0.289000	0.237548	1000	0.289000	0.289000	0.306771	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.306764	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306765	
1000	0.301000	0.237548	1000	0.301000	0.301000	0.306760	
1000	0.286000	0.237548	1000	0.286000	0.286000	0.306743	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306743	
1000	0.311000	0.237548	1000	0.311000	0.311000	0.306747	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306754	
1000	0.309000	0.237548	1000	0.309000	0.309000	0.306756	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306757	
1000	0.321000	0.237548	1000	0.321000	0.321000	0.306768	
1000	0.292000	0.237548	1000	0.292000	0.292000	0.306756	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306755	
1000	0.319000	0.237548	1000	0.319000	0.319000	0.306765	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306774	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306783	
1000	0.299000	0.237548	1000	0.299000	0.299000	0.306777	
1000	0.279000	0.237548	1000	0.279000	0.279000	0.306754	
1000	0.291000	0.237548	1000	0.291000	0.291000	0.306741	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.306749	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306755	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.306760	
1000	0.314000	0.237548	1000	0.314000	0.314000	0.306766	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306766	
1000	0.324000	0.237548	1000	0.324000	0.324000	0.306780	
1000	0.328000	0.237548	1000	0.328000	0.328000	0.306797	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306797	
1000	0.284000	0.237548	1000	0.284000	0.284000	0.306779	
1000	0.297000	0.237548	1000	0.297000	0.297000	0.306771	
1000	0.340000	0.237548	1000	0.340000	0.340000	0.306798	
1000	0.325000	0.237548	1000	0.325000	0.325000	0.306813	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306822	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306821	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306820	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306826	
1000	0.271000	0.237548	1000	0.271000	0.271000	0.306797	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.306806	
1000	0.330000	0.237548	1000	0.330000	0.330000	0.306824	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.306832	
1000	0.330000	0.237548	1000	0.330000	0.330000	0.306850	
1000	0.294000	0.237548	1000	0.294000	0.294000	0.306840	
1000	0.346000	0.237548	1000	0.346000	0.346000	0.306872	
1000	0.358000	0.237548	1000	0.358000	0.358000	0.306913	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.306920	
1000	0.288000	0.237548	1000	0.288000	0.288000	0.306905	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306905	
1000	0.323000	0.237548	1000	0.323000	0.323000	0.306918	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306915	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306916	
1000	0.327000	0.237548	1000	0.327000	0.327000	0.306932	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.306925	
1000	0.282000	0.237548	1000	0.282000	0.282000	0.306905	
1000	0.285000	0.237548	1000	0.285000	0.285000	0.306887	
1000	0.292000	0.237548	1000	0.292000	0.292000	0.306875	
1000	0.284000	0.237548	1000	0.284000	0.284000	0.306857	
1000	0.321000	0.237548	1000	0.321000	0.321000	0.306868	
1000	0.329000	0.237548	1000	0.329000	0.329000	0.306886	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306895	
1000	0.299000	0.237548	1000	0.299000	0.299000	0.306888	
1000	0.332000	0.237548	1000	0.332000	0.332000	0.306908	
1000	0.281000	0.237548	1000	0.281000	0.281000	0.306888	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306897	
1000	0.304000	0.237548	1000	0.304000	0.304000	0.306894	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306901	
1000	0.309000	0.237548	1000	0.309000	0.309000	0.306902	
1000	0.319000	0.237548	1000	0.319000	0.319000	0.306912	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306911	
1000	0.304000	0.237548	1000	0.304000	0.304000	0.306909	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.306916	
1000	0.275000	0.237548	1000	0.275000	0.275000	0.306891	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306897	
1000	0.278000	0.237548	1000	0.278000	0.278000	0.306875	
1000	0.338000	0.237548	1000	0.338000	0.338000	0.306899	
1000	0.322000	0.237548	1000	0.322000	0.322000	0.306911	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306911	
1000	0.288000	0.237548	1000	0.288000	0.288000	0.306896	
1000	0.325000	0.237548	1000	0.325000	0.325000	0.306910	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.306918	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.306922	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306921	
1000	0.330000	0.237548	1000	0.330000	0.330000	0.306939	
1000	0.323000	0.237548	1000	0.323000	0.323000	0.306951	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306951	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306948	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306948	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306945	
1000	0.321000	0.237548	1000	0.321000	0.321000	0.306955	
1000	0.331000	0.237548	1000	0.331000	0.331000	0.306974	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.306978	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306987	
1000	0.301000	0.237548	1000	0.301000	0.301000	0.306982	
1000	0.314000	0.237548	1000	0.314000	0.314000	0.306987	
1000	0.290000	0.237548	1000	0.290000	0.290000	0.306974	
1000	0.314000	0.237548	1000	0.314000	0.314000	0.306980	
1000	0.328000	0.237548	1000	0.328000	0.328000	0.306996	
1000	0.304000	0.237548	1000	0.304000	0.304000	0.306994	
1000	0.311000	0.237548	1000	0.311000	0.311000	0.306997	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306996	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.306998	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.307001	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.307009	
1000	0.282000	0.237548	1000	0.282000	0.282000	0.306990	
1000	0.309000	0.237548	1000	0.309000	0.309000	0.306991	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.306984	
1000	0.323000	0.237548	1000	0.323000	0.323000	0.306997	
1000	0.313000	0.237548	1000	0.313000	0.313000	0.307001	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.307007	
1000	0.327000	0.237548	1000	0.327000	0.327000	0.307023	
1000	0.290000	0.237548	1000	0.290000	0.290000	0.307010	
1000	0.324000	0.237548	1000	0.324000	0.324000	0.307023	
1000	0.321000	0.237548	1000	0.321000	0.321000	0.307033	
1000	0.332000	0.237548	1000	0.332000	0.332000	0.307052	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.307049	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.307050	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.307051	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.307051	
1000	0.293000	0.237548	1000	0.293000	0.293000	0.307041	
1000	0.294000	0.237548	1000	0.294000	0.294000	0.307031	
1000	0.340000	0.237548	1000	0.340000	0.340000	0.307056	
1000	0.329000	0.237548	1000	0.329000	0.329000	0.307073	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.307071	
1000	0.292000	0.237548	1000	0.292000	0.292000	0.307060	
1000	0.288000	0.237548	1000	0.288000	0.288000	0.307045	
1000	0.332000	0.237548	1000	0.332000	0.332000	0.307064	
1000	0.320000	0.237548	1000	0.320000	0.320000	0.307074	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.307082	
1000	0.283000	0.237548	1000	0.283000	0.283000	0.307064	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.307064	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.307063	
1000	0.331000	0.237548	1000	0.331000	0.331000	0.307081	
1000	0.319000	0.237548	1000	0.319000	0.319000	0.307090	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.307097	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.307103	
1000	0.311000	0.237548	1000	0.311000	0.311000	0.307106	
1000	0.327000	0.237548	1000	0.327000	0.327000	0.307120	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.307119	
1000	0.291000	0.237548	1000	0.291000	0.291000	0.307107	
1000	0.300000	0.237548	1000	0.300000	0.300000	0.307101	
1000	0.321000	0.237548	1000	0.321000	0.321000	0.307112	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.307110	
1000	0.340000	0.237548	1000	0.340000	0.340000	0.307135	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.307137	
1000	0.320000	0.237548	1000	0.320000	0.320000	0.307147	
1000	0.324000	0.237548	1000	0.324000	0.324000	0.307159	
1000	0.327000	0.237548	1000	0.327000	0.327000	0.307174	
1000	0.351000	0.237548	1000	0.351000	0.351000	0.307206	
1000	0.322000	0.237548	1000	0.322000	0.322000	0.307217	
1000	0.289000	0.237548	1000	0.289000	0.289000	0.307204	
1000	0.289000	0.237548	1000	0.289000	0.289000	0.307190	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.307198	
1000	0.290000	0.237548	1000	0.290000	0.290000	0.307186	
1000	0.301000	0.237548	1000	0.301000	0.301000	0.307181	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.307183	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.307190	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.307197	
1000	0.326000	0.237548	1000	0.326000	0.326000	0.307211	
1000	0.292000	0.237548	1000	0.292000	0.292000	0.307200	
1000	0.259000	0.237548	1000	0.259000	0.259000	0.307164	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.307164	
1000	0.300000	0.237548	1000	0.300000	0.300000	0.307159	
1000	0.299000	0.237548	1000	0.299000	0.299000	0.307153	
1000	0.283000	0.237548	1000	0.283000	0.283000	0.307135	
1000	0.296000	0.237548	1000	0.296000	0.296000	0.307127	
1000	0.280000	0.237548	1000	0.280000	0.280000	0.307107	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.307114	
1000	0.331000	0.237548	1000	0.331000	0.331000	0.307132	
1000	0.285000	0.237548	1000	0.285000	0.285000	0.307115	
1000	0.276000	0.237548	1000	0.276000	0.276000	0.307093	
1000	0.296000	0.237548	1000	0.296000	0.296000	0.307085	
1000	0.279000	0.237548	1000	0.279000	0.279000	0.307064	
1000	0.287000	0.237548	1000	0.287000	0.287000	0.307049	
1000	0.301000	0.237548	1000	0.301000	0.301000	0.307045	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.307046	
1000	0.331000	0.237548	1000	0.331000	0.331000	0.307063	
1000	0.299000	0.237548	1000	0.299000	0.299000	0.307057	
1000	0.325000	0.237548	1000	0.325000	0.325000	0.307070	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.307074	
1000	0.291000	0.237548	1000	0.291000	0.291000	0.307062	
1000	0.289000	0.237548	1000	0.289000	0.289000	0.307049	
1000	0.321000	0.237548	1000	0.321000	0.321000	0.307059	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.307066	
1000	0.309000	0.237548	1000	0.309000	0.309000	0.307067	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.307074	
1000	0.302000	0.237548	1000	0.302000	0.302000	0.307070	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.307076	
1000	0.300000	0.237548	1000	0.300000	0.300000	0.307071	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.307078	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.307085	
1000	0.300000	0.237548	1000	0.300000	0.300000	0.307080	
1000	0.339000	0.237548	1000	0.339000	0.339000	0.307103	
1000	0.331000	0.237548	1000	0.331000	0.331000	0.307120	
1000	0.319000	0.237548	1000	0.319000	0.319000	0.307128	
1000	0.319000	0.237548	1000	0.319000	0.319000	0.307137	
1000	0.300000	0.237548	1000	0.300000	0.300000	0.307132	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.307134	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.307127	
1000	0.287000	0.237548	1000	0.287000	0.287000	0.307113	
1000	0.313000	0.237548	1000	0.313000	0.313000	0.307117	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.307116	
1000	0.311000	0.237548	1000	0.311000	0.311000	0.307119	
1000	0.322000	0.237548	1000	0.322000	0.322000	0.307130	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.307133	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.307132	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.307138	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.307140	
1000	0.288000	0.237548	1000	0.288000	0.288000	0.307126	
1000	0.313000	0.237548	1000	0.313000	0.313000	0.307131	
1000	0.280000	0.237548	1000	0.280000	0.280000	0.307111	
1000	0.309000	0.237548	1000	0.309000	0.309000	0.307113	
1000	0.281000	0.237548	1000	0.281000	0.281000	0.307094	
1000	0.286000	0.237548	1000	0.286000	0.286000	0.307079	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.307078	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.307084	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.307086	
1000	0.286000	0.237548	1000	0.286000	0.286000	0.307071	
1000	0.313000	0.237548	1000	0.313000	0.313000	0.307075	
1000	0.287000	0.237548	1000	0.287000	0.287000	0.307061	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.307068	
1000	0.329000	0.237548	1000	0.329000	0.329000	0.307084	
1000	0.301000	0.237548	1000	0.301000	0.301000	0.307079	
1000	0.326000	0.237548	1000	0.326000	0.326000	0.307093	
1000	0.276000	0.237548	1000	0.276000	0.276000	0.307071	
1000	0.291000	0.237548	1000	0.291000	0.291000	0.307060	
1000	0.276000	0.237548	1000	0.276000	0.276000	0.307038	
1000	0.325000	0.237548	1000	0.325000	0.325000	0.307050	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.307052	
