Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Data - Dev	Data - Tried	Data - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
423	0.009456	577	0.285962	6.324110	0	0.000000	1.271975	577	0.285962	0.169000	0.159030	
423	0.002364	577	0.259965	6.324110	0	0.000000	1.271975	577	0.259965	0.151000	0.159024	
454	0.006608	546	0.294872	6.324110	0	0.000000	1.271975	546	0.294872	0.164000	0.159028	
444	0.002252	556	0.289568	6.324110	0	0.000000	1.271975	556	0.289568	0.162000	0.159030	
444	0.000000	556	0.280576	6.324110	0	0.000000	1.271975	556	0.280576	0.156000	0.159028	
433	0.009238	567	0.269841	6.324110	0	0.000000	1.271975	567	0.269841	0.157000	0.159026	
415	0.004819	585	0.288889	6.324110	0	0.000000	1.271975	585	0.288889	0.171000	0.159036	
425	0.004706	575	0.293913	6.324110	0	0.000000	1.271975	575	0.293913	0.171000	0.159046	
438	0.009132	562	0.259786	6.324110	0	0.000000	1.271975	562	0.259786	0.150000	0.159039	
439	0.004556	561	0.251337	6.324110	0	0.000000	1.271975	561	0.251337	0.143000	0.159025	
443	0.004515	557	0.271095	6.324110	0	0.000000	1.271975	557	0.271095	0.153000	0.159020	
454	0.013216	546	0.269231	6.324110	0	0.000000	1.271975	546	0.269231	0.153000	0.159015	
449	0.008909	551	0.292196	6.324110	0	0.000000	1.271975	551	0.292196	0.165000	0.159020	
409	0.002445	591	0.275804	6.324110	0	0.000000	1.271975	591	0.275804	0.164000	0.159024	
443	0.004515	557	0.274686	6.324110	0	0.000000	1.271975	557	0.274686	0.155000	0.159021	
443	0.004515	557	0.274686	6.324110	0	0.000000	1.271975	557	0.274686	0.155000	0.159017	
461	0.000000	539	0.263451	6.324110	0	0.000000	1.271975	539	0.263451	0.142000	0.159003	
427	0.007026	573	0.291449	6.324110	0	0.000000	1.271975	573	0.291449	0.170000	0.159012	
442	0.015837	558	0.306452	6.324110	0	0.000000	1.271975	558	0.306452	0.178000	0.159028	
461	0.008677	539	0.300557	6.324110	0	0.000000	1.271975	539	0.300557	0.166000	0.159034	
446	0.008969	554	0.267148	6.324110	0	0.000000	1.271975	554	0.267148	0.152000	0.159028	
448	0.011161	552	0.268116	6.324110	0	0.000000	1.271975	552	0.268116	0.153000	0.159023	
450	0.004444	550	0.272727	6.324110	0	0.000000	1.271975	550	0.272727	0.152000	0.159017	
465	0.010753	535	0.285981	6.324110	0	0.000000	1.271975	535	0.285981	0.158000	0.159016	
457	0.002188	543	0.257827	6.324110	0	0.000000	1.271975	543	0.257827	0.141000	0.159002	
442	0.004525	558	0.290323	6.324110	0	0.000000	1.271975	558	0.290323	0.164000	0.159006	
464	0.004310	536	0.253731	6.324110	0	0.000000	1.271975	536	0.253731	0.138000	0.158988	
453	0.008830	547	0.266910	6.324110	0	0.000000	1.271975	547	0.266910	0.150000	0.158981	
452	0.011062	548	0.310219	6.324110	0	0.000000	1.271975	548	0.310219	0.175000	0.158994	
444	0.004505	556	0.248201	6.324110	0	0.000000	1.271975	556	0.248201	0.140000	0.158978	
444	0.011261	556	0.278777	6.324110	0	0.000000	1.271975	556	0.278777	0.160000	0.158979	
455	0.008791	545	0.286239	6.324110	0	0.000000	1.271975	545	0.286239	0.160000	0.158980	
451	0.006652	549	0.264117	6.324110	0	0.000000	1.271975	549	0.264117	0.148000	0.158971	
458	0.010917	542	0.285978	6.324110	0	0.000000	1.271975	542	0.285978	0.160000	0.158972	
466	0.008584	534	0.279026	6.324110	0	0.000000	1.271975	534	0.279026	0.153000	0.158967	
442	0.006787	558	0.258065	6.324110	0	0.000000	1.271975	558	0.258065	0.147000	0.158957	
423	0.011820	577	0.277296	6.324110	0	0.000000	1.271975	577	0.277296	0.165000	0.158962	
430	0.004651	570	0.282456	6.324110	0	0.000000	1.271975	570	0.282456	0.163000	0.158965	
455	0.006593	545	0.313761	6.324110	0	0.000000	1.271975	545	0.313761	0.174000	0.158978	
426	0.007042	574	0.297909	6.324110	0	0.000000	1.271975	574	0.297909	0.174000	0.158990	
465	0.017204	535	0.271028	6.324110	0	0.000000	1.271975	535	0.271028	0.153000	0.158985	
480	0.006250	520	0.276923	6.324110	0	0.000000	1.271975	520	0.276923	0.147000	0.158975	
427	0.009368	573	0.308901	6.324110	0	0.000000	1.271975	573	0.308901	0.181000	0.158993	
445	0.000000	555	0.282883	6.324110	0	0.000000	1.271975	555	0.282883	0.157000	0.158992	
420	0.021429	580	0.286207	6.324110	0	0.000000	1.271975	580	0.286207	0.175000	0.159005	
438	0.018265	562	0.258007	6.324110	0	0.000000	1.271975	562	0.258007	0.153000	0.159000	
427	0.009368	573	0.273997	6.324110	0	0.000000	1.271975	573	0.273997	0.161000	0.159001	
467	0.006424	533	0.287054	6.324110	0	0.000000	1.271975	533	0.287054	0.156000	0.158999	
475	0.021053	525	0.295238	6.324110	0	0.000000	1.271975	525	0.295238	0.165000	0.159004	
459	0.008715	541	0.268022	6.324110	0	0.000000	1.271975	541	0.268022	0.149000	0.158996	
444	0.011261	556	0.296763	6.324110	0	0.000000	1.271975	556	0.296763	0.170000	0.159005	
427	0.016393	573	0.287958	6.324110	0	0.000000	1.271975	573	0.287958	0.172000	0.159015	
426	0.007042	574	0.277003	6.324110	0	0.000000	1.271975	574	0.277003	0.162000	0.159018	
414	0.009662	586	0.293515	6.324110	0	0.000000	1.271975	586	0.293515	0.176000	0.159031	
